ProblemNumber,Solution,Runtime,Grade
1,233168,0.0,A
2,4613732,0.0,A
3,6857,0.0,A
4,906609,0.001,A
5,232792560,0.0,A
6,25164150,0.0,A
7,104743,0.065,A
8,23514624000,0.002,A
9,31875000,0.017,A
10,142913828922,2.226,C
11,70600674,0.001,A
12,76576500,0.369,B
13,5537376230,0.0,A
14,837799,1.525,C
15,137846528820,0.0,A
16,1366,0.0,A
17,21124,0.0,A
18,1074,0.007,A
19,171,0.002,A
20,648,0.0,A
21,31626,0.093,A
22,871198282,0.006,A
23,4179871,2.417,C
24,2783915460,0.648,B
25,4782,0.026,A
26,983,0.033,A
27,-59231,0.619,B
28,669171001,0.0,A
29,9183,0.001,A
30,443839,0.506,B
31,73682,0.015,A
32,45228,0.072,A
33,100,0.001,A
34,40730,1.793,C
35,55,0.047,A
36,872187,0.279,B
37,748317,0.761,B
38,932718654,0.021,A
39,840,0.055,A
40,210,0.056,A
41,7652413,0.04,A
42,162,0.003,A
43,16695334890,0.079,A
44,5482660,2.245,C
45,1533776805,0.02,A
46,5777,0.039,A
47,134043,0.455,B
48,9110846700,0.001,A
49,296962999629,0.007,A
50,997651,1.174,C
51,121313,2.631,C
52,142857,0.276,B
53,4075,0.01,A
54,376,0.048,A
55,249,0.034,A
56,972,0.043,A
57,153,0.003,A
58,26241,0.124,B
59,129448,0.001,A
60,26033,1.686,C
61,28684,0.001,A
62,127035954683,0.079,A
63,49,0.001,A
64,1322,4.275,C
65,272,0.001,A
66,661,0.009,A
67,7273,0.002,A
68,6531031914842725,2.576,C
69,510510,0.0,A
70,8319823,0.284,B
71,428570,1.308,C
72,303963152391,1.5,C
73,7295372,3.839,C
74,402,1.384,C
75,161667,5.751,C
76,190569291,0.001,A
77,71,0.001,A
78,55374,2.96,C
79,73162890,0.001,A
80,40886,0.046,A
81,427337,0.113,B
82,260324,0.129,B
83,425185,0.164,B
84,101524,0.149,B
85,2772,0.012,A
86,1818,2.0,C
87,1097343,0.984,B
88,7587457,1.34,C
89,743,0.007,A
90,1217,0.036,A
91,14234,4.874,C
92,8581146,0.175,B
93,1258,6.292,C
94,518408346,0.0,A
95,14316,3.377,C
96,24702,4.761,C
97,8739992577,0.0,A
98,18769,0.177,B
99,709,0.001,A
100,756872327473,0.0,A
102,228,0.013,A
103,20313839404245,9.706,C
104,329468,4.569,C
105,73702,0.021,A
107,259679,0.009,A
112,1587000,3.133,C
113,51161058134250,0.001,A
114,16475640049,0.001,A
115,168,0.0,A
116,20492570929,0.0,A
117,100808458960497,0.0,A
118,44680,7.723,C
120,333082500,0.087,A
124,21417,1.348,C
125,2906969179,0.142,B
134,18613426663617118,0.154,B
165,2868868,9.527,C
187,17427258,0.653,B
191,1918080160,0.0,A
205,0.5731441,0.065,A
206,1389019170,0.488,B
243,892371480,4.154,C
277,1125977393124310,3.556,C
329,199740353/29386561536000,0.04,A
346,336108797689259276,0.488,B
355,1726545007,2.847,C
357,1739023853137,15.338,D
387,696067597313468,0.044,A
684,922058210,0.001,A
686,193060223,0.26,B
700,1517926517777556,0.0,A
719,128088830547982,56.475,D
751,2.2235610193135541061731770,0.003,A
