Problem Number,Solution,Runtime,Grade
1,233168.0,0.0,A
2,4613732.0,0.0,A
3,6857.0,0.0,A
4,906609.0,0.0,A
5,232792560.0,0.0,A
6,25164150.0,0.0,A
7,104743.0,0.033,A
8,23514624000.0,0.0,A
9,31875000.0,0.018000000000000002,A
10,142913828922.0,3.512,C
11,70600674.0,0.0,A
12,76576500.0,0.389,B
13,5537376230.0,0.0,A
14,837799.0,1.49,C
15,137846528820.0,0.0,A
16,1366.0,0.0,A
17,21124.0,0.0,A
18,465.0,0.0,A
19,171.0,0.0,A
20,648.0,0.0,A
21,31626.0,0.13,B
22,871198282.0,0.006999999999999999,A
23,4179871.0,2.774,C
24,2783915460.0,0.578,B
25,4782.0,0.025,A
26,983.0,0.040999999999999995,A
27,-59231.0,0.7879999999999999,B
28,669171001.0,0.0,A
29,9183.0,0.003,A
30,443839.0,0.735,B
31,73682.0,0.02,A
32,45228.0,0.061,A
33,100.0,0.0,A
34,40730.0,1.96,C
35,55.0,0.07,A
36,872187.0,0.345,B
37,748317.0,0.8959999999999999,B
38,932718654.0,0.025,A
39,840.0,0.075,A
40,210.0,0.061,A
41,7652413.0,0.019,A
42,162.0,0.003,A
43,16695334890.0,0.083,A
44,5482660.0,3.053,C
45,1533776805.0,0.034,A
46,5777.0,0.041,A
47,134043.0,0.48100000000000004,B
48,9110846700.0,0.002,A
49,296962999629.0,0.008,A
50,997651.0,1.251,C
51,121313.0,1.619,C
52,142857.0,0.091,A
53,4075.0,0.008,A
54,376.0,0.055,A
55,249.0,0.042,A
56,972.0,0.046,A
57,153.0,0.0,A
58,26241.0,0.25,B
59,107359.0,0.002,A
60,26033.0,1.813,C
61,28684.0,0.0,A
62,127035954683.0,0.055,A
63,49.0,0.0,A
64,1322.0,4.972,C
65,272.0,0.0,A
66,661.0,0.0,A
67,7273.0,0.0,A
68,6531031914842725.0,4.79,C
69,510510.0,0.0,A
70,8319823.0,0.181,B
71,428570.0,0.909,B
72,303963152391.0,2.693,C
73,7295372.0,4.248,C
74,402.0,1.729,C
75,161667.0,6.517,C
76,190569291.0,0.003,A
77,71.0,0.003,A
78,55374.0,3.467,C
79,73162890.0,0.0,A
80,40886.0,0.055,A
81,427337.0,0.095,A
82,260324.0,0.141,B
83,425185.0,0.14,B
84,101524.0,0.2,B
85,2772.0,0.013,A
86,1818.0,2.6039999999999996,C
87,1097343.0,0.899,B
88,7587457.0,1.376,C
89,743.0,0.006999999999999999,A
90,1217.0,0.036000000000000004,A
91,14234.0,9.047,C
92,8581146.0,0.161,B
93,1258.0,8.705,C
94,518408346.0,0.0,A
95,14316.0,3.542,C
96,24702.0,5.622000000000001,C
97,8739992577.0,0.0,A
98,18769.0,0.17300000000000001,B
99,709.0,0.002,A
100,756872327473.0,0.0,A
102,228.0,0.01,A
103,20313839404245.0,9.217,C
104,329468.0,4.64,C
105,73702.0,0.025,A
107,259679.0,0.016,A
112,1587000.0,3.482,C
113,51161058134250.0,0.002,A
114,16475640049.0,0.001,A
115,168.0,0.0,A
116,20492570929.0,0.0,A
117,100808458960497.0,0.0,A
118,44680.0,3.0060000000000002,C
120,333082500.0,0.08900000000000001,A
124,21417.0,1.672,C
125,2906969179.0,0.16899999999999998,B
165,2868868.0,57.44600000000001,D
191,1918080160.0,0.0,A
205,0.5731440999999999,0.062,A
206,1389019170.0,0.564,B
243,892371480.0,4.59,C
277,1125977393124310.0,4.96,C
355,1726545007.0,3.901,C
357,1739023853137.0,24.974,D
387,696067597313468.0,0.062,A
684,922058210.0,0.001,A
686,193060223.0,0.434,B
700,1517926517777556.0,0.0,A
719,128088830547982.0,93.69200000000001,E
751,2.223561019313553,0.0,A
